Füsioterapeut III,42
Füsioterapeut IV,18
Füsioterapeut V,1
"Füsioterapeut, tase 7",128
Geodeet I,8
Geodeet II,10
Geodeet III,43
Geodeet IV,63
Geodeet V,15
"Geodeet, tase 5",80
"Geodeet, tase 6",97
"Geodeet, tase 7",21
Golfitreener I,1
Golfitreener II,2
Golfitreener III,1
Golfitreener V,1
Grimeerija II,6
Grimeerija III,16
Hapkido treener IV,1
Harvesterioperaator III,52
"Harvesterioperaator, tase 4",227
"Hiina loodusravispetsialist, tase 5",4
Hiina loodusterapeut II,13
"Hiina loodusterapeut, tase 6",9
Hindaja assistent III,10
"Hingehoidja, tase 6",1
"Hingehoidja, tase 7",4
"Hobuhooldaja, tase 4",73
"Hobusekasvatusspetsialist, tase 5",4
"Hobusekasvatustöötaja, tase 3",1
"Holistilise regressiooni terapeut, tase 6",26
"Homöopaat, tase 6",11
"Homöopaat, tase 6",6
"Hooldustöötaja, tase 3",96
"Hooldustöötaja, tase 4",497
"Hooldustöötaja, tase 4",151
Hooldusõde I,26
Hooldusõde II,154
Hoolekandeasutuse juht V,10
Hoonete energiamärgise väljastaja III,17
Hotelliteenindaja I,324
Hotelliteenindaja II,10
"Hotelliteenindaja, tase 4",223
Iaidotreener III,1
Iluuisutamistreener V,3
Infotehnoloogia spetsialist I,191
Infotehnoloogia spetsialist I,197
Infotehnoloogia spetsialist II,28
Infotehnoloogia spetsialist II,33
Infotehnoloogiaekspert IV,1
Interpreet-instrumentalist III,14
"IT tugiisik, tase 3",201
"IT-süsteemide nooremspetsialist, tase 3",983
"IT-süsteemide nooremspetsialist, tase 4",65
"IT-süsteemide spetsialist, tase 4",152
Jalgpallitreener I,15
Jalgpallitreener II,20
Jalgpallitreener III,12
Jalgpallitreener IV,6
Jalgrattatreener I,14
Jalgrattatreener II,4
Jalgrattatreener III,8
Jalgsimatkatreener I,1
"Jaotusvõrgu elektrik, tase 4",5
Ju-jutsu treener II,2
Ju-jutsu treener IV,3
Judotreener I,12
Judotreener II,8
Judotreener III,6
Judotreener IV,8
Judotreener V,4
Juhiabi III,3
Juhiabi IV,2
"Juhiabi, tase 6",22
"Juhtivradioloogiatehnik, tase 7",2
"Juhtoperaator, tase 6",2
Jumestaja I,25
Jumestaja II,3
"Jumestaja, tase 4",5
Juuksur I,747
Juuksur II,2
"Juuksur, tase 4",257
Jäljeekspert IV,1
Jäljeekspert V,1
Jäähokitreener I,3
Jäähokitreener IV,1
Jõusaalitreener III,1
Jõusaalitreener IV,1
Kabetreener II,1
Kahevõistluse ja suusahüpete treener I,2
Kahevõistluse ja suusahüpete treener IV,1
"Kahjuritõrjuja, tase 4",9
"Kahjuritõrjuja, tase 5",23
"Kalakasvataja, tase 4",19
"Kaplan, tase 7",5
Karatetreener I,4
Karatetreener II,8
